frame,root x,root y,root z
0,-0.294429,0.907358,2.658151
1,-0.294463,0.907352,2.658332
2,-0.294496,0.907347,2.658516
3,-0.294529,0.907342,2.6587
4,-0.294562,0.907336,2.658881
5,-0.294595,0.90733,2.65906
6,-0.294628,0.907323,2.659232
7,-0.294659,0.907316,2.659399
8,-0.29469,0.907307,2.659563
9,-0.29472,0.907298,2.659723
10,-0.29475,0.907288,2.659879
11,-0.294782,0.907278,2.660032
12,-0.294815,0.907269,2.660181
13,-0.294851,0.907259,2.660328
14,-0.294889,0.907248,2.660471
15,-0.294928,0.907238,2.66061
16,-0.294967,0.907227,2.660746
17,-0.295003,0.907217,2.660879
18,-0.295037,0.907208,2.661009
19,-0.295068,0.907199,2.661136
20,-0.295097,0.907191,2.661259
21,-0.295123,0.907183,2.661379
22,-0.295149,0.907176,2.661496
23,-0.295173,0.907169,2.66161
24,-0.295198,0.907162,2.661721
25,-0.295222,0.907156,2.661829
26,-0.295245,0.90715,2.661932
27,-0.295268,0.907144,2.662033
28,-0.295289,0.907138,2.662132
29,-0.29531,0.907133,2.662229
30,-0.29533,0.907127,2.662327
31,-0.295348,0.907122,2.662424
32,-0.295364,0.907118,2.662519
33,-0.29538,0.907113,2.662613
34,-0.295395,0.907109,2.662706
35,-0.29541,0.907104,2.662801
36,-0.295426,0.907099,2.662897
37,-0.295443,0.907094,2.662994
38,-0.295459,0.907088,2.663092
39,-0.295476,0.907082,2.663191
40,-0.295493,0.907075,2.66329
41,-0.295511,0.907068,2.663389
42,-0.29553,0.907061,2.663489
43,-0.295549,0.907053,2.66359
44,-0.295568,0.907044,2.663693
45,-0.295588,0.907035,2.663795
46,-0.295609,0.907025,2.663897
47,-0.295632,0.907016,2.663999
48,-0.295656,0.907007,2.664098
49,-0.295683,0.906999,2.664194
50,-0.295711,0.906991,2.664289
51,-0.29574,0.906983,2.664383
52,-0.295771,0.906975,2.664476
53,-0.295804,0.906967,2.664569
54,-0.295839,0.906959,2.664663
55,-0.295877,0.90695,2.664758
56,-0.295917,0.906943,2.664852
57,-0.29596,0.906935,2.664947
58,-0.296003,0.906927,2.665042
59,-0.296047,0.906918,2.665138
60,-0.296091,0.906909,2.665234
61,-0.296135,0.9069,2.665332
62,-0.296179,0.906889,2.665431
63,-0.296224,0.906879,2.665531
64,-0.296269,0.906868,2.66563
65,-0.296314,0.906858,2.665727
66,-0.296359,0.906849,2.665822
67,-0.296404,0.906841,2.665915
68,-0.296448,0.906833,2.666006
69,-0.296493,0.906825,2.666097
70,-0.296538,0.906818,2.666184
71,-0.296582,0.906811,2.66627
72,-0.296625,0.906805,2.666351
73,-0.296668,0.906799,2.666429
74,-0.296711,0.906794,2.666503
75,-0.296754,0.906788,2.666574
76,-0.296796,0.906783,2.666644
77,-0.296836,0.906779,2.666712
78,-0.296875,0.906774,2.666781
79,-0.296911,0.90677,2.666848
80,-0.296944,0.906766,2.666914
81,-0.296977,0.906762,2.666979
82,-0.297008,0.906759,2.667043
83,-0.29704,0.906755,2.667108
84,-0.297072,0.906751,2.667174
85,-0.297105,0.906746,2.667241
86,-0.297137,0.906741,2.667306
87,-0.297169,0.906736,2.667372
88,-0.297202,0.90673,2.66744
89,-0.297235,0.906725,2.667509
90,-0.297268,0.906719,2.667582
91,-0.297302,0.906713,2.667659
92,-0.297337,0.906706,2.667739
93,-0.297372,0.906699,2.667822
94,-0.297407,0.906692,2.667905
95,-0.297443,0.906685,2.667989
96,-0.297479,0.906679,2.668073
97,-0.297517,0.906673,2.668156
98,-0.297555,0.906667,2.66824
99,-0.297594,0.906661,2.668324
100,-0.297633,0.906656,2.668408
101,-0.297671,0.906649,2.668491
102,-0.297708,0.906642,2.668572
103,-0.297743,0.906635,2.668652
104,-0.297778,0.906626,2.668732
105,-0.297812,0.906617,2.668811
106,-0.297846,0.906608,2.668888
107,-0.29788,0.906599,2.668964
108,-0.297914,0.906591,2.669038
109,-0.297949,0.906583,2.66911
110,-0.297985,0.906575,2.669179
111,-0.298021,0.906568,2.669247
112,-0.298057,0.906561,2.669314
113,-0.298092,0.906555,2.669381
114,-0.298127,0.906549,2.669449
115,-0.298162,0.906545,2.669518
116,-0.298196,0.906542,2.669588
117,-0.29823,0.906539,2.669659
118,-0.298263,0.906536,2.669728
119,-0.298297,0.906533,2.669795
120,-0.298331,0.906529,2.66986
121,-0.298364,0.906525,2.669921
122,-0.298399,0.906519,2.66998
123,-0.298433,0.906513,2.670038
124,-0.298466,0.906507,2.670093
125,-0.298499,0.906501,2.670148
126,-0.298531,0.906494,2.670201
127,-0.298561,0.906488,2.670253
128,-0.29859,0.906481,2.670303
129,-0.298618,0.906474,2.670351
130,-0.298646,0.906467,2.670399
131,-0.298674,0.906461,2.670446
132,-0.298703,0.906455,2.670492
133,-0.298732,0.90645,2.670538
134,-0.298762,0.906445,2.670583
135,-0.298791,0.906441,2.670627
136,-0.298821,0.906436,2.670671
137,-0.298849,0.906432,2.670715
138,-0.298877,0.906427,2.670758
139,-0.298902,0.906422,2.670802
140,-0.298925,0.906416,2.670844
141,-0.298948,0.906411,2.670887
142,-0.298971,0.906405,2.67093
143,-0.298994,0.906399,2.670973
144,-0.29902,0.906393,2.671016
145,-0.299048,0.906387,2.671062
146,-0.29908,0.906382,2.67111
147,-0.299113,0.906376,2.671159
148,-0.299145,0.90637,2.671206
149,-0.299173,0.906364,2.671249
150,-0.299196,0.906359,2.671287
